city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality,food_cost_index,transportation_cost_index,bills_cost_index,hobby_cost_index,education_cost_index,dressing_cost_index,realestate_cost_index
Lytkarino,Russia,6.4,27.2,3.02,3.38,3.94,1.92,2.24,2.08,1.76,1.23,1.14,1.79,13.02,5.28,11.2,2.06,2.22,1.58,3.66,0.96,1.42,2.06,0.69,12.0,1.15,1.41,2.8,0.64,43.98,2.77,0.3,8.64,0.85,23781.48,23878.49,113.33,0.03,6.24,13.33,15.78,4.48,489.58,8770.87,68.21,39.98,160.0,80.0,432.0,304.0,640.0,560.0,2068.16,2068.16,679.3,10.0,0,106.01003084697821,92.81650443786181,50.89871449645177,84.54988377291839,104.85335964626117,108.7771160886254,96.89366237101389
Macclesfield,United Kingdom,18.45,49.2,6.01,5.23,5.23,2.73,1.85,1.54,1.41,1.26,2.19,2.31,4.35,6.58,11.72,2.06,2.31,2.4,1.19,1.61,1.45,0.63,0.92,6.15,1.85,2.46,6.29,6.77,149.45,3.57,1.23,17.18,1.9,23781.48,23878.49,136.25,0.14,36.9,43.05,15.78,13.53,489.58,8770.87,123.0,36.9,49.2,49.2,711.57,560.16,1253.98,974.08,3235.27,2341.93,2952.0,2.3,0,114.69860141313414,117.53385992528155,109.24776459803391,112.66943608402028,104.85335964626117,101.53714705624212,103.96590058556754
Ruhengeri,Rwanda,0.94,28.16,3.75,0.38,1.41,2.82,0.38,0.38,0.42,0.94,1.17,1.24,3.74,8.45,3.28,1.13,1.07,1.13,0.42,0.28,0.38,0.8,0.47,9.39,0.94,1.41,1.64,1.52,43.98,2.58,1.29,11.15,1.02,22524.64,11731.58,49.76,0.06,37.4,36.85,15.78,4.69,126.68,1819.75,18.77,30.03,33.64,51.7,711.57,560.16,1253.98,974.08,3235.27,2341.93,1821.19,17.6,0,24.006869572676294,99.87733842856173,78.57052268706546,97.6692960655835,84.77468971455565,86.40224047841919,103.96590058556754
Rovaniemi,Finland,12.64,65.33,9.48,5.27,5.27,3.85,2.77,1.42,0.98,2.21,1.79,2.39,8.3,8.11,8.96,1.58,1.72,1.53,2.63,0.7,0.74,1.77,1.11,12.64,2.74,2.63,9.27,3.79,54.79,6.32,1.69,49.57,2.41,23340.46,26185.57,103.47,0.07,20.34,33.46,25.29,13.7,509.31,10326.7,57.96,23.71,55.32,63.22,639.62,579.56,1106.43,895.68,2370.93,1211.81,2713.39,1.06,0,124.19961854871363,120.01425027731274,83.18830187075314,115.53543516411092,106.24570092375569,96.35902448723411,100.9228425725873
Chambery,France,15.81,68.49,12.91,4.21,3.42,2.99,2.11,1.05,1.05,1.07,2.19,2.35,16.86,7.17,11.72,5.27,1.55,2.36,2.56,1.57,1.52,2.11,2.11,8.64,2.11,2.31,8.43,1.63,43.98,2.77,1.23,17.18,1.36,26132.88,23878.49,96.07,0.14,15.81,41.1,15.78,9.48,489.58,8770.87,31.61,36.88,42.15,52.69,632.25,526.87,1253.98,974.08,3235.27,2341.93,3148.06,6.52,0,134.60328581504464,106.01250254278011,89.30329029393258,107.70538104377205,104.85335964626117,92.48471124356031,103.5294877342438
Seinajoki,Finland,13.17,85.67,7.77,6.64,7.11,3.42,2.21,1.9,0.92,1.05,2.11,2.42,8.25,9.48,9.48,2.11,1.16,2.11,3.37,0.84,1.52,1.74,1.05,10.54,1.75,2.32,9.48,3.16,34.25,8.43,1.8,46.79,2.28,26343.63,29504.87,97.37,0.07,20.61,42.11,26.34,14.17,368.81,4214.98,86.93,31.61,79.03,94.84,576.05,474.19,965.58,822.98,3385.68,2331.94,2577.46,1.48,0,127.06686890475976,119.37870533885729,82.39556779309406,119.29287200672579,97.87772586377967,105.47290311294368,102.10155961338691
Limerick,Ireland,15.81,73.76,9.48,5.48,5.24,3.54,2.01,1.51,1.1,1.39,1.16,3.07,7.67,9.21,11.2,1.79,2.06,2.25,2.04,1.49,1.23,0.98,1.07,10.54,2.54,2.82,15.7,2.11,61.47,4.72,1.2,25.29,2.0,25816.76,22128.65,170.45,0.32,67.62,56.2,21.07,8.69,901.65,8770.87,47.29,34.07,86.06,75.27,1276.2,965.93,2212.86,1520.4,2891.21,1956.8,3074.64,3.23,1,126.88167477814245,112.56097206622135,136.84586134793642,114.0636030693699,109.04590792680281,101.21559955076124,108.46513860246719
Larnaca,Cyprus,15.81,52.69,7.9,4.21,4.74,4.01,2.24,0.94,1.95,1.97,2.42,3.12,11.85,8.18,12.72,2.42,1.97,1.89,2.62,1.29,1.11,0.74,1.11,7.38,1.55,2.69,5.8,2.11,42.15,5.53,1.58,31.61,1.61,25816.76,33333.47,205.03,0.1,36.87,59.97,42.15,12.64,376.34,5525.58,94.84,39.22,88.51,100.11,846.24,617.66,1558.04,1122.64,2081.15,1377.4,1298.02,2.71,1,126.62585889310361,114.29235156759788,110.43710675800956,128.05164721084546,99.87524467236567,108.41757044095833,103.13451718814817
Vaxjo,Sweden,9.68,58.1,8.72,6.78,6.78,3.68,1.33,1.36,1.28,2.15,2.42,2.91,9.12,8.23,16.11,3.07,2.42,2.39,3.16,1.14,1.11,1.55,1.61,8.72,1.65,1.61,6.59,2.91,52.29,7.26,1.94,48.42,1.92,29052.31,21789.24,82.31,0.07,23.24,71.02,36.32,12.59,102.89,581.05,72.6,22.6,87.16,123.47,738.41,537.47,1186.3,768.68,5447.31,3692.06,2192.0,1.92,0,132.51649457715504,119.0973962766652,81.59699434180217,128.25273106962726,75.50900839141796,104.50879360364574,105.61856448020275
Hunedoara,Romania,5.35,12.84,6.42,2.14,1.71,1.28,1.07,0.86,0.86,0.64,0.64,2.57,3.21,4.28,4.28,0.86,1.28,1.07,2.56,0.86,1.71,0.86,1.39,4.28,1.07,1.07,5.14,0.43,8.56,0.75,0.69,4.71,1.71,23781.48,23878.49,181.97,0.14,146.32,36.85,15.78,8.37,489.58,8770.87,29.97,21.41,42.82,32.11,321.12,560.16,492.39,974.08,3235.27,2341.93,1821.19,6.52,0,60.08144426558125,83.95565923365696,137.02270605173626,104.82034036602357,104.85335964626117,85.74210257120052,99.75767689657832
